Model,N,delta_snr,delta_snr_ci_low,delta_snr_ci_high,cc,cc_ci_low,cc_ci_high,rmse,rmse_ci_low,rmse_ci_high,prd,prd_ci_low,prd_ci_high,st_mae_denoised,st_mae_denoised_ci_low,st_mae_denoised_ci_high,fidelity_score,fidelity_score_ci_low,fidelity_score_ci_high,model_quality,quality_fidelity_corr
V7,2000,9.75259257379337,9.539396990987958,9.957247296353716,0.8445099161916491,0.8371497087451331,0.8518812925911331,0.03342029493798627,0.03210541838074959,0.034686060367451865,0.49990718586156707,0.48623418280269154,0.5140079588246816,0.022415589942393628,0.021498318440457635,0.023330303203697045,0.7692212993777646,0.7606862979533596,0.7777177547063154,0.8013304515797645,0.8962906454433534
DeepDenoiser,2000,2.4647030373468444,2.3608570233738724,2.5704211430530557,0.6452459663667932,0.6338328282619161,0.6567932942786289,0.09786783571788865,0.09320044674516652,0.10246072632469072,1.4909008273279807,1.431007804124416,1.5487851404917152,0.07330468142692427,0.06962389258679821,0.07685639647832526,0.4209311885717501,0.404929043351162,0.4372889934967356,,
DPRNN,2000,9.098960798482926,8.893221275362798,9.301706613328736,0.8091034610525565,0.7995444836673582,0.8184807580551493,0.04318948772997989,0.04088821218795353,0.04549322400460441,0.6471534599796005,0.6194826380476885,0.674688527644159,0.030120996127614468,0.028409252721281582,0.031807819989183805,0.7062733588758093,0.6932542226176219,0.7191323838211998,,
Restormer1D,2000,8.541985854540282,8.363907031487598,8.721764628424543,0.793275588727015,0.7842894479694485,0.8027584767701939,0.04081914085819096,0.03909386878931804,0.042478401491865526,0.6154386979680576,0.5956798893930609,0.6345523084654795,0.0279779433607166,0.026728479107566247,0.02920300669303299,0.6971549847573821,0.6863094966295012,0.7085868684116682,,
Bandpass,2000,1.3285344291248888,1.1655863306510938,1.4916530797533156,0.5581601046911097,0.5462656667133041,0.5709752392232139,0.0894369987870854,0.08653243410866061,0.092534869818753,1.4891627020229656,1.4366197492168447,1.5416541355678295,0.06704518250501197,0.06474144198942586,0.0694681122343675,0.34993574747962586,0.3368744973060245,0.36402502459979796,,
Wavelet,2000,3.588308862565026,3.3907974715214593,3.7777464457163656,0.574123327243291,0.5625791660206588,0.5856989779323237,0.06525255278325964,0.06309050223659193,0.06741286376542474,1.0561330793208936,1.0229821134784318,1.0911902061409398,0.044396148008066974,0.042722344907014216,0.046072412224149255,0.4710069672061166,0.45926764854113605,0.48313873272217683,,
